"idBank";"Dernière mise à jour";"Puissance";"Zone géographique";"Unité";"Nature";"Périodicité";"﻿Base de l'indice";"Correction";"Indicateur";"Série arrêtée"
"010567058";"09/09/2025 08:45";"0";"France métropolitaine";"sans objet";"Indice";"Trimestrielle";"2015";"Non corrigé";"Indice de prix des logements anciens";"non"
""
"Codes"
""
"Q";"Couvert par le secret statistique"
"E";"Estimation"
"F";"Prévision"
"P";"Provisoire"
"SD";"Valeur semi-définitive"
"R";"Révision"
"A";"Valeur normale"
"N";"Valeur non significative"
"O";"Valeur manquante"
"U";"Valeur atypique"
