expirygroup,expiryDate,c_Last,c_Change,c_Bid,c_Ask,c_Volume,c_Openinterest,c_colour,strike,p_Last,p_Change,p_Bid,p_Ask,p_Volume,p_Openinterest,p_colour,drillDownURL
,Oct 31,23.15,2.45,22.85,23.05,87,2488,True,205.00,0.81,-0.36,0.80,0.81,5988,8572,False,/fr/market-activity/stocks/amzn/option-chain/call-put-options/amzn--251031c00205000
,Oct 31,20.73,2.28,20.65,20.85,36,2512,True,207.50,1.10,-0.48,1.09,1.11,3260,2343,False,/fr/market-activity/stocks/amzn/option-chain/call-put-options/amzn--251031c00207500
,Oct 31,18.80,2.10,18.55,18.75,569,5941,True,210.00,1.49,-0.63,1.48,1.50,12339,12586,False,/fr/market-activity/stocks/amzn/option-chain/call-put-options/amzn--251031c00210000
,Oct 31,16.75,1.90,16.60,16.70,154,1086,True,212.50,1.99,-0.76,1.97,2.01,3543,2986,False,/fr/market-activity/stocks/amzn/option-chain/call-put-options/amzn--251031c00212500
,Oct 31,14.75,1.87,14.70,14.80,1161,5404,True,215.00,2.61,-0.91,2.59,2.63,7434,8705,False,/fr/market-activity/stocks/amzn/option-chain/call-put-options/amzn--251031c00215000
,Oct 31,12.98,1.48,12.95,13.05,708,3183,True,217.50,3.33,-1.11,3.30,3.40,2986,2899,False,/fr/market-activity/stocks/amzn/option-chain/call-put-options/amzn--251031c00217500
,Oct 31,11.53,1.64,11.30,11.45,2852,12297,True,220.00,4.22,-1.22,4.15,4.25,4743,10073,False,/fr/market-activity/stocks/amzn/option-chain/call-put-options/amzn--251031c00220000
,Oct 31,9.98,1.43,9.80,9.95,1953,5738,True,222.50,5.23,-1.40,5.15,5.25,3105,2217,False,/fr/market-activity/stocks/amzn/option-chain/call-put-options/amzn--251031c00222500
,Oct 31,8.50,1.20,8.45,8.55,7270,11344,True,225.00,6.30,-1.48,6.30,6.40,7440,4696,False,/fr/market-activity/stocks/amzn/option-chain/call-put-options/amzn--251031c00225000
,Oct 31,7.22,1.00,7.20,7.30,6826,5308,False,227.50,7.56,-1.59,7.55,7.65,5388,447,True,/fr/market-activity/stocks/amzn/option-chain/call-put-options/amzn--251031c00227500
,Oct 31,6.15,0.96,6.05,6.15,13966,26996,False,230.00,8.90,-1.75,8.90,9.00,2636,3811,True,/fr/market-activity/stocks/amzn/option-chain/call-put-options/amzn--251031c00230000
,Oct 31,5.05,0.73,5.05,5.10,3936,13503,False,232.50,10.45,-1.70,10.35,10.45,211,416,True,/fr/market-activity/stocks/amzn/option-chain/call-put-options/amzn--251031c00232500
,Oct 31,4.13,0.58,4.10,4.20,19196,17303,False,235.00,11.95,-1.93,11.95,12.05,410,1250,True,/fr/market-activity/stocks/amzn/option-chain/call-put-options/amzn--251031c00235000
,Oct 31,3.37,0.49,3.35,3.40,3558,5373,False,237.50,13.69,-2.06,13.65,13.75,63,211,True,/fr/market-activity/stocks/amzn/option-chain/call-put-options/amzn--251031c00237500
,Oct 31,2.71,0.40,2.68,2.71,13662,25783,False,240.00,15.65,-2.00,15.45,15.60,706,1478,True,/fr/market-activity/stocks/amzn/option-chain/call-put-options/amzn--251031c00240000
,Oct 31,2.14,0.30,2.12,2.16,3514,11630,False,242.50,17.45,-2.30,17.40,17.55,127,26,True,/fr/market-activity/stocks/amzn/option-chain/call-put-options/amzn--251031c00242500
,Oct 31,1.70,0.22,1.68,1.71,11293,12681,False,245.00,19.70,-2.10,19.40,19.60,75,173,True,/fr/market-activity/stocks/amzn/option-chain/call-put-options/amzn--251031c00245000
,Oct 31,1.34,0.14,1.32,1.35,2419,2093,False,247.50,21.55,-2.23,21.55,21.75,33,22,True,/fr/market-activity/stocks/amzn/option-chain/call-put-options/amzn--251031c00247500
